run_id,repeat_id,batch_size,layers,tp_size,local_query_heads,topk,page_size,qk_latent_dim,value_latent_dim,active_kv_bytes_per_layer,layer_reuse_distance_bytes,l2_cache_bytes,executed_flops,decode_step_gpu_time_s,per_layer_gpu_time_s,achieved_tflops,warmup_steps,measured_steps,status,kernel_backend,plan_num_blks_x,plan_num_blks_y,plan_kv_len_limit,plan_total_work_items,plan_active_clusters,plan_max_work_per_cluster,plan_work_histogram,gpu_name,gpu_index,hbm_total_gib,hbm_free_before_gib,allocated_tensor_gib,sm_clock_mhz_before,sm_clock_mhz_after,memory_clock_mhz_before,memory_clock_mhz_after,temperature_c_before,temperature_c_after,power_w_before,power_w_after,software_commit,torch_version,cuda_version,flashinfer_version,hostname,seed,error
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,1,78,8,8,2048,64,576,512,2359296,184025088,100663296,2780823552,0.0014060336303710938,1.802607218424479e-05,1.9777788325490187,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,64,32,32,1,"{""0"":110,""1"":32}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,0.29640306904911995,2520.0,2520.0,9001.0,9001.0,37.0,38.0,51.26,78.47,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,8,78,8,8,2048,64,576,512,18874368,1472200704,100663296,22246588416,0.0034535116577148438,4.4275790483523635e-05,6.441729642436001,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,256,64,64,1,"{""0"":78,""1"":64}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,1.4962245002388954,2520.0,2415.0,9001.0,9001.0,41.0,45.0,87.95,142.73,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,16,78,8,8,2048,64,576,512,37748736,2944401408,100663296,44493176832,0.0050989056396484374,6.537058512369791e-05,8.726024754415292,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,256,128,128,1,"{""0"":14,""1"":128}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,2.8674489930272102,2520.0,1515.0,9001.0,9001.0,39.0,43.0,86.27,154.94,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,24,78,8,8,2048,64,576,512,56623104,4416602112,100663296,66739765248,0.008565084228515625,0.00010980877216045674,7.792073430615447,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,512,96,96,1,"{""0"":46,""1"":96}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,4.238673485815525,2520.0,1500.0,9001.0,9001.0,41.0,45.0,82.2,207.41,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,32,78,8,8,2048,64,576,512,75497472,5888802816,100663296,88986353664,0.011081523437500001,0.00014207081330128206,8.030155254905582,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,512,128,128,1,"{""0"":14,""1"":128}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,5.60989797860384,2520.0,1890.0,9001.0,9001.0,41.0,45.0,89.0,200.36,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,48,78,8,8,2048,64,576,512,113246208,8833204224,100663296,133479530496,0.01838735107421875,0.00023573527018229165,7.259312663211949,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,768,144,142,2,"{""1"":140,""2"":2}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,8.35234696418047,2520.0,2205.0,9001.0,9001.0,38.0,43.0,85.83,199.1,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
2026-08-20_1140_glm51-dsa-layer-ring-gate-v01,0,64,78,8,8,2048,64,576,512,150994944,11777605632,100663296,177972707328,0.022637915039062498,0.0002902296799879807,7.861709305865934,20,100,measured,FlashInfer FA2 MLA; 78-layer active-KV ring,1,142,1024,128,128,1,"{""0"":14,""1"":128}",NVIDIA L40S,0,44.39215087890625,43.9549560546875,11.0947959497571,2520.0,1845.0,9001.0,9001.0,40.0,44.0,85.96,192.15,b5b5807cd871430be4b9243813226553e0e54031,2.9.1+cu130,13.0,0.6.8.post1,omnisky,20260820,
